country,year,month,month_year,best
Syria,2018,12,201812,1462
Syria,2019,1,201901,1074
Syria,2019,2,201902,496
Syria,2019,3,201903,953
Syria,2019,4,201904,525
Syria,2019,5,201905,1187
Syria,2019,6,201906,1265
Syria,2019,7,201907,977
Syria,2019,8,201908,1441
Syria,2019,9,201909,193
Syria,2019,10,201910,1328
Syria,2019,11,201911,834
Syria,2019,12,201912,935
Syria,2020,1,202001,1488
Syria,2020,2,202002,1554
Syria,2020,3,202003,442
Syria,2020,4,202004,224
Syria,2020,5,202005,294
Syria,2020,6,202006,300
Syria,2020,7,202007,285
Syria,2020,8,202008,158
Syria,2020,9,202009,165
Syria,2020,10,202010,223
Syria,2020,11,202011,265
Syria,2020,12,202012,292
Syria,2021,1,202101,277
Syria,2021,2,202102,225
Syria,2021,3,202103,238
Syria,2021,4,202104,192
Syria,2021,5,202105,144
Syria,2021,6,202106,183
Syria,2021,7,202107,161
Syria,2021,8,202108,99
Syria,2021,9,202109,93
Syria,2021,10,202110,130
Syria,2021,11,202111,107
Syria,2021,12,202112,99
Syria,2022,1,202201,440
Syria,2022,2,202202,129
Syria,2022,3,202203,70
Syria,2022,4,202204,84
Syria,2022,5,202205,90
Syria,2022,6,202206,100
Syria,2022,7,202207,85
Syria,2022,8,202208,134
Syria,2022,9,202209,115
Syria,2022,10,202210,117
Syria,2022,11,202211,155
Syria,2022,12,202212,152
Syria,2023,1,202301,148
Syria,2023,2,202302,174
Syria,2023,3,202303,147
Syria,2023,4,202304,138
Syria,2023,5,202305,74
Syria,2023,6,202306,126
Syria,2023,7,202307,114
Syria,2023,8,202308,255
Syria,2023,9,202309,259
Syria,2023,10,202310,399
Syria,2023,11,202311,191
Syria,2023,12,202312,162
Syria,2024,1,202401,162
Syria,2024,2,202402,248
Syria,2024,3,202403,350
Syria,2024,4,202404,185
Syria,2024,5,202405,155
Syria,2024,6,202406,168
Syria,2024,7,202407,120
Syria,2024,8,202408,146
Syria,2024,9,202409,186
Syria,2024,10,202410,203
Syria,2024,11,202411,739
Syria,2024,12,202412,954
Ukraine,2018,1,201801,30
Ukraine,2018,2,201802,18
Ukraine,2018,3,201803,8
Ukraine,2018,4,201804,25
Ukraine,2018,5,201805,25
Ukraine,2018,6,201806,20
Ukraine,2018,7,201807,21
Ukraine,2018,8,201808,29
Ukraine,2018,9,201809,15
Ukraine,2018,10,201810,19
Ukraine,2018,11,201811,13
Ukraine,2018,12,201812,20
Ukraine,2019,1,201901,8
Ukraine,2019,2,201902,36
Ukraine,2019,3,201903,31
Ukraine,2019,4,201904,38
Ukraine,2019,5,201905,22
Ukraine,2019,6,201906,32
Ukraine,2019,7,201907,31
Ukraine,2019,8,201908,28
Ukraine,2019,9,201909,29
Ukraine,2019,10,201910,21
Ukraine,2019,11,201911,22
Ukraine,2019,12,201912,13
Ukraine,2020,1,202001,32
Ukraine,2020,2,202002,18
Ukraine,2020,3,202003,26
Ukraine,2020,4,202004,21
Ukraine,2020,5,202005,29
Ukraine,2020,6,202006,19
Ukraine,2020,7,202007,19
Ukraine,2020,8,202008,5
Ukraine,2020,9,202009,6
Ukraine,2020,10,202010,7
